INFO 2025-01-06 13:10:41,678 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-06 13:10:42,035 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/checks/translation.py first seen with mtime 1732121715.3594213
DEBUG 2025-01-06 13:10:42,036 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/admin/widgets.py first seen with mtime 1732121714.7093997
DEBUG 2025-01-06 13:10:42,036 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/routers.py first seen with mtime 1732671820.5182147
DEBUG 2025-01-06 13:10:42,036 autoreload File /usr/lib/python3/dist-packages/requests/utils.py first seen with mtime 1608147266.0
DEBUG 2025-01-06 13:10:42,036 autoreload File /etc/python3.10/sitecustomize.py first seen with mtime 1648890259.0
DEBUG 2025-01-06 13:10:42,036 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1732121715.3754218
DEBUG 2025-01-06 13:10:42,036 autoreload File /usr/lib/python3/dist-packages/chardet/hebrewprober.py first seen with mtime 1607460141.0
DEBUG 2025-01-06 13:10:42,036 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/auth/decorators.py first seen with mtime 1732121714.9094064
DEBUG 2025-01-06 13:10:42,036 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1732671820.618218
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/templatetags/static.py first seen with mtime 1732121715.434424
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1732121715.3874223
DEBUG 2025-01-06 13:10:42,037 autoreload File /usr/lib/python3/dist-packages/requests/status_codes.py first seen with mtime 1608147266.0
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/mail/__init__.py first seen with mtime 1732121715.3654215
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/forms/models.py first seen with mtime 1732121715.408423
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/files/base.py first seen with mtime 1732121715.3614213
DEBUG 2025-01-06 13:10:42,037 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/views/i18n.py first seen with mtime 1732121715.4494243
DEBUG 2025-01-06 13:10:42,038 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/fields/files.py first seen with mtime 1732121715.3994226
DEBUG 2025-01-06 13:10:42,038 autoreload File /usr/lib/python3.10/xml/dom/minicompat.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,038 autoreload File /usr/lib/python3.10/email/contentmanager.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,038 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/checks/__init__.py first seen with mtime 1732121715.3584213
DEBUG 2025-01-06 13:10:42,038 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1732121715.3774219
DEBUG 2025-01-06 13:10:42,038 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/negotiation.py first seen with mtime 1732671820.5122147
DEBUG 2025-01-06 13:10:42,038 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/test/__init__.py first seen with mtime 1732121715.434424
DEBUG 2025-01-06 13:10:42,039 autoreload File /usr/lib/python3.10/difflib.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,039 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/__init__.py first seen with mtime 1732121715.3544211
DEBUG 2025-01-06 13:10:42,039 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1734969281.8848689
DEBUG 2025-01-06 13:10:42,039 autoreload File /usr/lib/python3/dist-packages/yaml/nodes.py first seen with mtime 1611178924.0
DEBUG 2025-01-06 13:10:42,039 autoreload File /home/fidel/.local/lib/python3.10/site-packages/sqlparse/formatter.py first seen with mtime 1732121714.446391
DEBUG 2025-01-06 13:10:42,039 autoreload File /usr/lib/python3/dist-packages/urllib3/connectionpool.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,039 autoreload File /usr/lib/python3/dist-packages/chardet/charsetprober.py first seen with mtime 1607460141.0
DEBUG 2025-01-06 13:10:42,039 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/utils/json.py first seen with mtime 1732671820.622218
DEBUG 2025-01-06 13:10:42,040 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/auth/models.py first seen with mtime 1732121714.9114065
DEBUG 2025-01-06 13:10:42,040 autoreload File /usr/lib/python3/dist-packages/requests/models.py first seen with mtime 1608147266.0
DEBUG 2025-01-06 13:10:42,040 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1732121714.9104064
DEBUG 2025-01-06 13:10:42,040 autoreload File /usr/lib/python3.10/asyncio/unix_events.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,040 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1732121715.352421
DEBUG 2025-01-06 13:10:42,040 autoreload File /usr/lib/python3.10/random.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,040 autoreload File /usr/lib/python3.10/email/mime/multipart.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,040 autoreload File /usr/lib/python3/dist-packages/colorama/initialise.py first seen with mtime 1602564393.0
DEBUG 2025-01-06 13:10:42,041 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/ipv6.py first seen with mtime 1732121715.4434242
DEBUG 2025-01-06 13:10:42,041 autoreload File /usr/lib/python3.10/encodings/__init__.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,041 autoreload File /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,041 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1732121715.4004228
DEBUG 2025-01-06 13:10:42,041 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/query_utils.py first seen with mtime 1732121715.3984227
DEBUG 2025-01-06 13:10:42,042 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/text.py first seen with mtime 1732121715.445424
DEBUG 2025-01-06 13:10:42,042 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/models.py first seen with mtime 1734969281.883869
DEBUG 2025-01-06 13:10:42,042 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/status.py first seen with mtime 1732671820.5202148
DEBUG 2025-01-06 13:10:42,042 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/postgres/forms/__init__.py first seen with mtime 1732121715.1824155
DEBUG 2025-01-06 13:10:42,042 autoreload File /usr/lib/python3.10/email/charset.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,042 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/schemas/views.py first seen with mtime 1732671820.5702164
DEBUG 2025-01-06 13:10:42,043 autoreload File /usr/lib/python3/dist-packages/certifi/__init__.py first seen with mtime 1599544135.0
DEBUG 2025-01-06 13:10:42,043 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1732121714.9714084
DEBUG 2025-01-06 13:10:42,043 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/forms/renderers.py first seen with mtime 1732121715.408423
DEBUG 2025-01-06 13:10:42,043 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/http/request.py first seen with mtime 1732121715.4254236
DEBUG 2025-01-06 13:10:42,043 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/crypto.py first seen with mtime 1732121715.440424
DEBUG 2025-01-06 13:10:42,044 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1732121715.442424
DEBUG 2025-01-06 13:10:42,044 autoreload File /usr/lib/python3.10/copyreg.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,044 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1732121715.4304237
DEBUG 2025-01-06 13:10:42,044 autoreload File /usr/lib/python3.10/json/scanner.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,044 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1732121714.9114065
DEBUG 2025-01-06 13:10:42,044 autoreload File /usr/lib/python3.10/asyncio/base_tasks.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,044 autoreload File /usr/lib/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,044 autoreload File /home/fidel/.local/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1732121714.4493911
DEBUG 2025-01-06 13:10:42,045 autoreload File /usr/lib/python3.10/importlib/metadata/__init__.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,045 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/sessions/models.py first seen with mtime 1732121715.259418
DEBUG 2025-01-06 13:10:42,045 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/postgres/fields/citext.py first seen with mtime 1732121715.1814156
DEBUG 2025-01-06 13:10:42,045 autoreload File /usr/lib/python3.10/zoneinfo/_tzpath.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,045 autoreload File /usr/lib/python3.10/sre_parse.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,045 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/template/__init__.py first seen with mtime 1732121715.4274235
DEBUG 2025-01-06 13:10:42,045 autoreload File /usr/lib/python3.10/email/encoders.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/functions/datetime.py first seen with mtime 1732121715.4024227
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1732121715.4014227
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/termcolors.py first seen with mtime 1732121715.445424
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/sqlparse/__init__.py first seen with mtime 1732121714.445391
DEBUG 2025-01-06 13:10:42,046 autoreload File /usr/lib/python3/dist-packages/urllib3/response.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1732121715.1764152
DEBUG 2025-01-06 13:10:42,046 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/tokens.py first seen with mtime 1734969281.8848689
DEBUG 2025-01-06 13:10:42,047 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/apps/__init__.py first seen with mtime 1732121714.5993962
DEBUG 2025-01-06 13:10:42,047 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/checks/database.py first seen with mtime 1732121715.3584213
DEBUG 2025-01-06 13:10:42,047 autoreload File /usr/lib/python3/dist-packages/urllib3/filepost.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,047 autoreload File /usr/lib/python3/dist-packages/chardet/big5freq.py first seen with mtime 1605650645.0
DEBUG 2025-01-06 13:10:42,047 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/files/utils.py first seen with mtime 1732121715.3624215
DEBUG 2025-01-06 13:10:42,047 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/auth/apps.py first seen with mtime 1732121714.9084065
DEBUG 2025-01-06 13:10:42,047 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/authentication.py first seen with mtime 1732671820.5072145
DEBUG 2025-01-06 13:10:42,048 autoreload File /usr/lib/python3/dist-packages/requests/api.py first seen with mtime 1608147266.0
DEBUG 2025-01-06 13:10:42,048 autoreload File /usr/lib/python3/dist-packages/colorama/win32.py first seen with mtime 1602564393.0
DEBUG 2025-01-06 13:10:42,048 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/checks/security/base.py first seen with mtime 1732121715.3604214
DEBUG 2025-01-06 13:10:42,048 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1732671820.622218
DEBUG 2025-01-06 13:10:42,048 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1732121715.352421
DEBUG 2025-01-06 13:10:42,048 autoreload File /usr/lib/python3/dist-packages/chardet/langgreekmodel.py first seen with mtime 1607626374.0
DEBUG 2025-01-06 13:10:42,048 autoreload File /home/fidel/.local/lib/python3.10/site-packages/asgiref/current_thread_executor.py first seen with mtime 1732121714.4943926
DEBUG 2025-01-06 13:10:42,049 autoreload File /usr/lib/python3.10/ipaddress.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,049 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/__init__.py first seen with mtime 1732121714.7053998
DEBUG 2025-01-06 13:10:42,049 autoreload File /usr/lib/python3/dist-packages/idna/package_data.py first seen with mtime 1634081418.0
DEBUG 2025-01-06 13:10:42,049 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/forms/boundfield.py first seen with mtime 1732121715.407423
DEBUG 2025-01-06 13:10:42,049 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,049 autoreload File /usr/lib/python3.10/importlib/resources.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,049 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/admin/views/decorators.py first seen with mtime 1732121714.8574047
DEBUG 2025-01-06 13:10:42,050 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/management/__init__.py first seen with mtime 1732121715.3674216
DEBUG 2025-01-06 13:10:42,050 autoreload File /usr/lib/python3.10/ntpath.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,050 autoreload File /usr/lib/python3.10/numbers.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,050 autoreload File /usr/lib/python3.10/socket.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,050 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/functions/math.py first seen with mtime 1732121715.4024227
DEBUG 2025-01-06 13:10:42,050 autoreload File /usr/lib/python3.10/uuid.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,050 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1732121714.8564048
DEBUG 2025-01-06 13:10:42,051 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/serializers.py first seen with mtime 1732671820.5192149
DEBUG 2025-01-06 13:10:42,051 autoreload File /usr/lib/python3.10/http/cookies.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,051 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/signals.py first seen with mtime 1732121715.3554213
DEBUG 2025-01-06 13:10:42,051 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1732121715.3874223
DEBUG 2025-01-06 13:10:42,051 autoreload File /usr/lib/python3/dist-packages/requests/__version__.py first seen with mtime 1608147266.0
DEBUG 2025-01-06 13:10:42,051 autoreload File /home/fidel/.local/lib/python3.10/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1732121714.4483912
DEBUG 2025-01-06 13:10:42,051 autoreload File /usr/lib/python3.10/stringprep.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/renderers.py first seen with mtime 1732671820.5162148
DEBUG 2025-01-06 13:10:42,052 autoreload File /usr/lib/python3/dist-packages/chardet/chardistribution.py first seen with mtime 1605650645.0
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/serializers/base.py first seen with mtime 1732121715.3744218
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/template/loader_tags.py first seen with mtime 1732121715.4304237
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/.local/lib/python3.10/site-packages/psycopg2/extras.py first seen with mtime 1733445317.1252494
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/Task_management_api/tasks/permissions.py first seen with mtime 1734974415.4682705
DEBUG 2025-01-06 13:10:42,052 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/token_blacklist/models.py first seen with mtime 1734969281.9008694
DEBUG 2025-01-06 13:10:42,053 autoreload File /usr/lib/python3.10/hashlib.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,053 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1732121715.3924224
DEBUG 2025-01-06 13:10:42,053 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/utils/encoders.py first seen with mtime 1732671820.6202178
DEBUG 2025-01-06 13:10:42,053 autoreload File /usr/lib/python3.10/calendar.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,053 autoreload File /usr/lib/python3/dist-packages/urllib3/exceptions.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,053 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/views/static.py first seen with mtime 1732121715.4494243
DEBUG 2025-01-06 13:10:42,053 autoreload File /usr/lib/python3.10/asyncio/mixins.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,054 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1732121715.4444242
DEBUG 2025-01-06 13:10:42,054 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/views/generic/edit.py first seen with mtime 1732121715.4524245
DEBUG 2025-01-06 13:10:42,054 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/postgres/utils.py first seen with mtime 1732121715.1804154
DEBUG 2025-01-06 13:10:42,054 autoreload File /usr/lib/python3.10/logging/config.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,055 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/signing.py first seen with mtime 1732121715.3554213
DEBUG 2025-01-06 13:10:42,055 autoreload File /usr/lib/python3/dist-packages/urllib3/request.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,055 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1732121715.3934224
DEBUG 2025-01-06 13:10:42,055 autoreload File /usr/lib/python3.10/xml/__init__.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,056 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework/apps.py first seen with mtime 1732671820.5062144
DEBUG 2025-01-06 13:10:42,056 autoreload File /usr/lib/python3/dist-packages/yaml/events.py first seen with mtime 1611178924.0
DEBUG 2025-01-06 13:10:42,056 autoreload File /home/fidel/.local/lib/python3.10/site-packages/asgiref/local.py first seen with mtime 1732121714.4943926
DEBUG 2025-01-06 13:10:42,057 autoreload File /usr/lib/python3.10/urllib/request.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,057 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/files/uploadedfile.py first seen with mtime 1732121715.3624215
DEBUG 2025-01-06 13:10:42,057 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1732121715.4464242
DEBUG 2025-01-06 13:10:42,057 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/dateparse.py first seen with mtime 1732121715.440424
DEBUG 2025-01-06 13:10:42,057 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/checks/messages.py first seen with mtime 1732121715.3584213
DEBUG 2025-01-06 13:10:42,058 autoreload File /usr/lib/python3.10/graphlib.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,058 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/http/multipartparser.py first seen with mtime 1732121715.4254236
DEBUG 2025-01-06 13:10:42,059 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/admin/sites.py first seen with mtime 1732121714.7083998
DEBUG 2025-01-06 13:10:42,059 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/forms/widgets.py first seen with mtime 1732121715.409423
DEBUG 2025-01-06 13:10:42,059 autoreload File /usr/lib/python3.10/queue.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,059 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1732121715.4434242
DEBUG 2025-01-06 13:10:42,059 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1732121715.4334238
DEBUG 2025-01-06 13:10:42,059 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/core/handlers/__init__.py first seen with mtime 1732121715.3634214
DEBUG 2025-01-06 13:10:42,060 autoreload File /home/fidel/.local/lib/python3.10/site-packages/rest_framework_simplejwt/settings.py first seen with mtime 1734969281.883869
DEBUG 2025-01-06 13:10:42,060 autoreload File /usr/lib/python3/dist-packages/yaml/scanner.py first seen with mtime 1611178924.0
DEBUG 2025-01-06 13:10:42,060 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/contrib/messages/api.py first seen with mtime 1732121715.1754153
DEBUG 2025-01-06 13:10:42,060 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/utils/cache.py first seen with mtime 1732121715.439424
DEBUG 2025-01-06 13:10:42,060 autoreload File /usr/lib/python3.10/contextvars.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,060 autoreload File /usr/lib/python3/dist-packages/urllib3/util/queue.py first seen with mtime 1729169348.0
DEBUG 2025-01-06 13:10:42,061 autoreload File /usr/lib/python3.10/xml/dom/NodeFilter.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,061 autoreload File /usr/lib/python3.10/asyncio/__init__.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,061 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/fields/generated.py first seen with mtime 1732121715.3994226
DEBUG 2025-01-06 13:10:42,061 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/urls/exceptions.py first seen with mtime 1732121715.437424
DEBUG 2025-01-06 13:10:42,061 autoreload File /usr/lib/python3.10/concurrent/__init__.py first seen with mtime 1730924533.0
DEBUG 2025-01-06 13:10:42,061 autoreload File /home/fidel/.local/lib/python3.10/site-packages/django/db/models/sql/__init__.py first seen with mtime 1732121715.4034228
